,0,1
86,"Eccles Street, Inns Quay A ED, Dublin, County Dublin, Leinster, D01 T3F2, Éire / Ireland","(53.3592023, -6.2695273)"
87,"Sleepy Hollow, Kinsaley ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.434688550000004, -6.169417698001197)"
88,"Royal Irish Academy, 19, Dawson Street, Dublin, County Dublin, Leinster, D02 AW24, Éire / Ireland","(53.3406614, -6.257876555763072)"
89,"Montague House, 1, Adelaide Road, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 FW64, Éire / Ireland","(53.3331619, -6.259940757456697)"
90,"The High School Dublin, Zion Road, Rathgar, Rathfarnham A ED, Dublin, County Dublin, Leinster, D06 F6H9, Éire / Ireland","(53.3060404, -6.2736102567425895)"
91,"Rialto Bridge, South Circular Road, Ushers F ED, Dublin, County Dublin, Leinster, D08 RF72, Éire / Ireland","(53.3377632, -6.2993356)"
92,"Bailey View, Bullock, Dalkey-Bullock ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.283969400000004, -6.1046683697698665)"
93,"Kish House, Greendale Road, Kilbarrack, Raheny-Foxfield ED, Dublin, County Dublin, Leinster, D05 H2K2, Éire / Ireland","(53.3853607, -6.154241298460146)"
94,"Tranquilla, Gordon Avenue, Foxrock, Cornelscourt, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 TD00, Éire / Ireland","(53.2657428, -6.172959947726685)"
95,"Mount Carmel, Roebuck, Dundrum-Taney ED, Dundrum, Dún Laoghaire-Rathdown, Dublin 14, Leinster, Éire / Ireland","(53.2975491, -6.239102377070651)"
96,"Knock, Balbriggan Rural ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.579862199999994, -6.2035669441567345)"
97,"Coombe Women & Infants University Hospital, Cork Street, Merchants Quay F ED, Dublin, County Dublin, Leinster, D08 WN40, Éire / Ireland","(53.3345547, -6.288261613451772)"
98,"Harmony Avenue, Donnybrook, Rathmines East B ED, Dublin, Dublin 4, Leinster, D04 PV32, Éire / Ireland","(53.3185627, -6.2349182)"
99,"New York Hair, 20, Eden Quay, North City ED, Dublin, County Dublin, Leinster, D01 EK70, Éire / Ireland","(53.348194750000005, -6.256771619433922)"
100,"Tunney's Optometrist, Main Street, Finglas, Ballygall A ED, Dublin, County Dublin, Leinster, D11 K254, Éire / Ireland","(53.388228299999994, -6.298357621430931)"
101,"Star Asia Foods, Parnell Street, North City ED, Dublin, County Dublin, Leinster, D01 H578, Éire / Ireland","(53.3507519, -6.2650212)"
102,"#417 Merrion Road, Serpentine Avenue, Merrion Road, Ballsbridge, Pembroke East E ED, Dublin, County Dublin, Leinster, D04 C535, Éire / Ireland","(53.3276247, -6.2258595)"
103,"Dublin North City Poor Law Union, Santry, Ballymun C ED, Dublin, Dublin 9, Leinster, Éire / Ireland","(53.39964245, -6.258906878884627)"
104,"Ceylon, 1, Cowper Gardens, Milltown, Dublin, County Dublin, Leinster, D06 Y176, Éire / Ireland","(53.31650205, -6.2516165)"
105,"Dalkey, Railway Road, Dalkey Hill ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 PY23, Éire / Ireland","(53.2754961, -6.102561409104025)"
106,"Garryowen, Arnold Grove, Sallynoggin, Dalkey-Avondale ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 FE09, Éire / Ireland","(53.27076255, -6.134050564589409)"
107,"Westland Row, Mansion House A ED, Dublin, Dublin 2, Leinster, Éire / Ireland","(53.3399187, -6.249884975539027)"
108,"Newcastle Lyons Parish, Newcastle, South Dublin, County Dublin, Leinster, D22 HK06, Éire / Ireland","(53.2944995, -6.511999740205517)"
109,"Roebuck, Terenure-Greentrees ED, South Dublin, County Dublin, Leinster, Éire / Ireland","(53.31198125, -6.318597922881029)"
110,"Penrose Street, Pembroke West A ED, Dublin, Dublin 4, Leinster, D04 K743, Éire / Ireland","(53.3403494, -6.2327701)"
111,"Church of the Sacred Heart, Merrion, Pembroke East D ED, Dublin, Dublin 4, Leinster, Éire / Ireland","(53.3190518, -6.230753589433959)"
112,"Denmark Street Great, Great Denmark Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 PP66, Éire / Ireland","(53.3555383, -6.2614804)"
113,"Lincoln’s Inn, 18-19, Lincoln Place, Mansion House A ED, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.34199905, -6.25253563639437)"
114,"O'Connell Street, Citizen's Information, O'Connell Street Upper, North City ED, Dublin, County Dublin, Leinster, D01 P5P5, Éire / Ireland","(53.3507561, -6.2605009)"
115,"Official Residence of the Republic of South Africa, 16, Ailesbury Road, Simmonscourt, Pembroke East E ED, Dublin, County Dublin, Leinster, D04 A373, Éire / Ireland","(53.320570700000005, -6.218867405101541)"
116,"Prospect, Botanic B ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.367610850000005, -6.268585840605314)"
117,"Mount Jerome Cemetery & Crematorium, Kimmage C ED, Dublin, County Dublin, Leinster, D6W HY98, Éire / Ireland","(53.32577275, -6.284314223432526)"
118,"Orange (Moved), 2-6, Corn Exchange Place, Mansion House A ED, Dublin, County Dublin, Leinster, D02 R990, Éire / Ireland","(53.3469405, -6.2558851)"
119,"Talbot Street, Gardiner Street, Talbot Street, North City ED, Dublin, County Dublin, Leinster, D01 X8F8, Éire / Ireland","(53.3503826, -6.2562658)"
120,"Cabra, Cabra West B ED, Dublin, County Dublin, Leinster, D07 AX73, Éire / Ireland","(53.3669485, -6.2933936)"
121,"Dún Laoghaire-Sandycove ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.28248015, -6.119561935860996)"
